"Position","Code",""
"Winner","Spain","30.2"
"2nd or better",NA,"   0"
"3rd or better",NA,"   0"
"4th or better",NA,"   0"
"Quarter final or better",NA,"   0"
"Quarter final or better",NA,"   0"
"Quarter final or better",NA,"   0"
"Quarter final or better",NA,"   0"
"Last 16","Greece","99.4"
"Last 16","Portugal","74.1"
"Last 16","Italy","80.7"
"Last 16","France","83.4"
"Last 16","Poland"," 100"
"Last 16","Denmark"," 100"
"Last 16","Ireland"," 100"
"Last 16","Ukraine"," 100"
"3rd in group or better","Spain"," 100"
"3rd in group or better",NA," 100"
"3rd in group or better",NA," 100"
"3rd in group or better",NA," 100"
"3rd in group or better",NA,"30.2"
"3rd in group or better",NA,"   0"
"3rd in group or better",NA,"   0"
"3rd in group or better",NA,"   0"
"4th in group or better","Greece","   0"
"4th in group or better","Portugal","   0"
"4th in group or better","Italy","   0"
"4th in group or better","France","   0"
"4th in group or better","Poland","99.4"
"4th in group or better","Denmark","74.1"
"4th in group or better","Ireland","80.7"
"4th in group or better","Ukraine","83.4"
